Event,Filename,ID,Artist,Title,Game,Reason
none,AloneintheDark2_HellsKitchenZombiesThompsonsMix.mp3,none,Bart Klepka,Hell's Kitchen (Zombies & Thompsons Mix),Alone in the Dark 2,unknown
none,Darklands_LhommeArmeGuidedbySaintsMix.mp3,none,Bart Klepka,L'homme Arme (Guided by Saints Mix),Darklands,unknown
none,DukeNukem3D_GothamDistortedMix.mp3,none,Bart Klepka,Gotham (Distorted Mix),Duke Nukem 3D,unknown
none,Dune_SietchtoSietchSekenceMix.mp3,none,Bart Klepka,Sietch to Sietch (Sekence Mix),Dune,unknown
none,FinalFantasyMysticQuest_DoomCastleMetal.mp3,none,DarkCecil13,Doom Castle Metal,Final Fantasy Mystic Quest,"""MYSTIC RE-QUEST I,"" stolen from Final Fantasy USA: Mystic Quest Sound Collections album"
none,FinalFantasyVII_AdelanteMakoReactor.mp3,none,FFmusic Dj,Adelante (Mako Reactor),Final Fantasy VII,"Extensively samples SASH!'s ""Adelante"""
none,GalaxyForceII_Nominal.mp3,none,djpretzel,Nominal,Galaxy Force II,MIDI rip
none,OutRun_SplashWave.mp3,none,Syrinx,Splash Wave,OutRun,IT rip
none,SuperMarioWorld_FlatGoomBeat.mp3,none,"DJ Seith, Miss Kitty",Flat Goom-Beat,Super Mario World,"Directly samples most of Mr. Oiso's ""Flat Beat"""
none,ChronoTrigger_BadTuna.mp3,OCR00084,DJ Frog,Bad Tuna,Chrono Trigger,SPC rip + drums
none,SecretofMana_FearoftheHeavensFlow.mp3,OCR00104,Nik Morendi,Fear of the Heavens Flow,Secret of Mana,SPC rip + drums
none,YieArKungFu_MistsofYieAr.mp3,OCR00135,Rimco,Mists of Yie Ar,Yie Ar Kung-Fu,"Not a game music arrangement. In-game source tune adapted from Jean Michel Jarre's ""Magnetic Fields."""
none,ToeJamEarl_JamesBrowninSpace.mp3,OCR00138,djpretzel,James Brown in Space,ToeJam & Earl,"Not a game music arrangement. Inspired by game, but not from any identifiable in-game music."
none,FinalFantasyIV_ChocoboStringsandWinds.mp3,OCR01051,Aaron Ackerson,Chocobo (Strings and Winds),Final Fantasy IV,"Cover of Shirou Satou's ""Chocobo-Chocobo"" arrangement from Final Fantasy IV Piano Collections."
none,SecretofMana_MysticInvasion.mp3,OCR01142,Brad Smith,Mystic Invasion,Secret of Mana,Too similar to the original
none,Xenogears_ChildoftheStars.mp3,OCR01213,Kaijin,Child of the Stars,Xenogears,Too similar to the original
none,CastlevaniaIISimonsQuest_TearsofBlood.mp3,OCR01551,Munisho,Tears of Blood,Castlevania II,"""Bloody Tears,"" stolen from Perfect Selection Dracula Battle arrangement album."
none,PokemonAdvancedGenerationIveBegunHiraganaandKatakana_IChooseYouPicochu.mp3,OCR02385,WillRock,"I Choose You, Picochu!",Pokémon Advanced Generation: I've Begun Hiragana and Katakana!,"Not a game music arrangement. In-game source tune taken from ""Pokémon Advanced Generation"" anime."
Lockdown 1,SuperMarioLand_Millenium.mp3,OCR00020,Deep Black Skys,Millennium,Super Mario Land,GBS rip with creative processing and drums.
Lockdown 1,SecretofMana_FearofHeavenBenLewisMix.mp3,OCR00024,Ben Lewis,Fear of Heaven (Ben Lewis Mix),Secret of Mana,"SPC rip + drums, author admits to it essentially being so."
Lockdown 1,Doom_E1M1.mp3,OCR00027,Apn,E1M1,Doom,MIDI rip with instruments changed.
Lockdown 1,SonictheHedgehog_LabyrinthZone.mp3,OCR00031,Mutewitness,Labyrinth Zone,Sonic the Hedgehog,GYM rip.
Lockdown 1,ChuChuRocket_ChuChuRockit.mp3,OCR00033,Dale North,ChuChu Rockit,ChuChu Rocket!,"Not a game music arrangement. TV commercial music + drums, but not from any identifiable in-game music."
Lockdown 1,ChuChuRocket_BadCD.mp3,OCR00039,Am.Fm.Gm,Bad CD,ChuChu Rocket!,"Not a game music arrangement. TV commercial music + drums, but not from any identifiable in-game music."
Lockdown 1,MegaMan3_TopManChuckM.mp3,OCR00049,Chuck Manson,Top Man Chuck M,Mega Man 3,MIDI rip + beats.
Lockdown 1,StarFox_SpaceTrip.mp3,OCR00051,Chuck Manson,Space Trip,Star Fox,"Not an arrangement. Just weird sound effects, no game music."
Lockdown 1,MegaMan_VejitaCutMan.mp3,OCR00074,Prince Vejita,Vejita Cut Man,Mega Man,NSF rip + drums.
Lockdown 1,FinalFantasyVII_StillMoreFighting.mp3,OCR00075,Sponge@adelphia.Net,Still More Fighting,Final Fantasy VII,MIDI rip. Too similar to original.
